Taxon
Cornus controversa
Cornus drummondii
Cornus florida
Cornus florida f. rubra
Cornus foemina
Cornus foemina subsp. foemina
Cornus macrophylla
Cornus obliqua
Cornus quinquenervis
Cornus racemosa
Cornus walteri
Corydalis aurea
Corydalis aurea subsp. aurea
Corydalis crystallina
Corydalis flavula
Corydalis micrantha
Corydalis micrantha subsp. australis
Corydalis micrantha subsp. micrantha
Corydalis nariniana
Corydalis stricta
Corylopsis pauciflora
Corylopsis veitchiana
Corylus americana
Corylus colchica
Corylus fargesii
Corylus maxima
Cotinus coggygria
Cotinus obovatus
Cotinus szechuanensis
Cotoneaster acutifolius
Cotoneaster dielsianus
Cotoneaster melanocarpus
Cotoneaster morulus
Crambe cordifolia
Crataegus × sicca
Crataegus × simulata
Crataegus aurantia
Crataegus azarolus
Crataegus berberifolia
Crataegus berberifolia var. berberifolia
Crataegus biltmoreana
Crataegus calpodendron
Crataegus coccinioides
Crataegus collina
Crataegus collina var. lettermanii
Crataegus collina var. sordida
Crataegus crus-galli
Crataegus dissona
Crataegus distincta
Crataegus engelmannii
Crataegus fecunda
Crataegus gattingeri
Crataegus harbisonii
Crataegus laevigata
Crataegus lanuginosa
Crataegus latebrosa
Crataegus macracantha
Crataegus macrosperma
Crataegus margarettae
Crataegus margarettae var. brownii
Crataegus marshallii
Crataegus mollis
Crataegus neobushii
Crataegus nitida
Crataegus nuda
Crataegus padifolia
Crataegus pentagyna
Crataegus perjucunda
Crataegus persimilis
Crataegus phaenopyrum
Crataegus pruinosa
Crataegus pruinosa var. magnifolia
Crataegus reverchonii
Crataegus rubella
Crataegus schuettei
Crataegus spathulata
Crataegus spes-aestatum
Crataegus succulenta
Crataegus succulenta var. succulenta
Crataegus texana
Crataegus texana var. dasyphylla
Crataegus transmississippiensis
Crataegus uniflora
Crataegus viridis
Crataegus viridis var. nitens
Crataegus viridis var. ovata
Crataegus viridis var. viridis
Cremastra appendiculata var. variabilis
Crepis aurea
Crepis rubra
Crocus adamii
Crocus autranii
Crocus banaticus
Crocus boryi
Crocus cvijicii
Crocus cyprius
Crocus etruscus
Crocus goulimyi
Crocus oreocreticus
Crocus sativus
Croomia pauciflora
Crotalaria sagittalis
Croton alabamensis
Croton alabamensis var. alabamensis
Croton alabamensis var. texensis
Croton capitatus var. capitatus
Croton dioicus
Croton michauxii
Croton monanthogynus
Croton willdenowii
Cryptogramma sitchensis
Cryptotaenia canadensis
Cryptotaenia flahaultii
Cubelium concolor
Cucurbita foetidissima
Cucurbita pepo var. ovifera
Cucurbita pepo var. ozarkana
Cunila origanoides
Cunninghamia lanceolata
Cuphea viscosissima
Cuscuta campestris
Cuscuta cephalanthi
Cuscuta compacta
Cuscuta cuspidata
Cuscuta glomerata
Cuscuta gronovii
Cuscuta indecora
Cuscuta obtusiflora var. glandulosa
Cuscuta pentagona
Cuscuta polygonorum
Cyclachaena xanthiifolia
Cyclamen abchasicum
Cyclamen colchicum
Cyclamen purpurascens
Cydonia oblonga
Cylindropuntia imbricata var. argentea
Cylindropuntia tunicata
Cymophyllus fraserianus
Cynanchum laeve
Cynoglossum virginianum
Cynosciadium digitatum
Cyperus acuminatus
Cyperus compressus
Cyperus croceus
Cyperus diandrus
Cyperus echinatus
Cyperus flavescens
Cyperus flavescens var. poaeformis
Cyperus flavicomus
Cyperus grayoides
Cyperus hystricinus
Cyperus lancastriensis
Cyperus lupulinus
Cyperus lupulinus subsp. lupulinus
Cyperus lupulinus subsp. macilentus
Cyperus plukenetii
Cyperus polystachyos var. texensis
Cyperus pseudovegetus
Cyperus pseudovegetus var. pseudovegetus
Cyperus refractus
Cyperus retroflexus
Cyperus retrofractus
Cyperus schweinitzii
Cyperus setiger
Cyperus setigerus
Cyperus strigosus
Cypripedium arietinum
Cypripedium calceolus var. parviflorum
Cypripedium candidum
Cypripedium japonicum
Cypripedium kentuckiense
Cypripedium parviflorum var. parviflorum
Cypripedium parviflorum var. pubescens
Cypripedium reginae
Cyrtomium falcatum subsp. littorale
Cyrtomium fortunei
Cyrtomium fortunei var. atropunctatum
Cyrtomium lonchitoides
Cyrtomium macrophyllum var. microindusium
Cyrtomium tukusicola
Cystopteris bulbifera
Cystopteris laurentiana
Cystopteris protrusa
Cystopteris sudetica
Cystopteris tennesseensis
Cystopteris tenuis
Cytisus albus
Dactylorhiza euxina
Dactylorhiza maculata
Dactylostalix ringens
Dalea bartonii
Dalea candida
Dalea enneandra
Dalea foliosa
Dalea gattingeri
Dalea leporina
Dalea purpurea
Dalea purpurea var. purpurea
Dalea reverchonii
Dalea tentaculoides
Dalea villosa var. villosa
